US Equity,Foreign EQ,Emerging EQ
-0.0556,-0.009828303,-0.007272612
0.0693,0.094824229,0.083883766
-0.0477,-0.031010934,-0.019184331
0.0954,0.098115743,0.111164951
0.0388,0.036079135,0.029023519
0.006,-0.047990262,-0.026457608
0.0682,0.080963743,0.071377304
0.0199,0.02362956,-0.02704077
0.0349,0.033102708,-0.009277723
0.0045,-0.022059191,0.058852031
0.029,0.060763435,0.031237249
-0.0127,-0.028062955,-0.025831883
-0.0175,-0.012275663,-0.014962959
-0.0236,-0.015728508,-0.003760842
-0.0599,-0.090276795,-0.089097458
-0.0759,-0.094966815,-0.145625866
0.1135,0.096472844,0.132556321
-0.0028,-0.048250358,-0.066592222
0.0074,-0.009353,-0.011956885
0.0505,0.053530788,0.113619985
0.0442,0.057686673,0.0600848
0.0311,-0.004042438,-0.033269057
-0.0085,-0.018419711,-0.01167299
-0.0619,-0.113631902,-0.111725693
0.0389,0.07049598,0.039064968
0.0079,0.011462897,0.020226894
0.0255,0.026862602,-0.002990135
0.0273,0.029834197,0.060439728
-0.0176,0.008301421,-0.006063649
0.0078,0.024161225,0.012669551
0.0118,0.032018038,0.048915472
0.0557,0.052924482,0.013942874
0.0129,-0.009234708,-0.012419783
0.0403,0.008755849,-0.017006952
0.0155,0.05330435,0.0079291
0.028,-0.023056036,-0.025184897
-0.012,-0.035293858,-0.063186143
0.0565,0.052844852,0.010989229
-0.0271,-0.013119928,-0.016781642
0.0377,0.074158496,0.06534773
0.0418,0.033641436,0.048731452
0.0312,0.007827809,-0.014544319
0.0281,0.015119653,-0.014376564
-0.0332,-0.040180829,-0.064712937
0.0465,0.05585441,0.03333623
0.0043,-0.005657116,0.030920479
-0.0019,0.015290414,0.003722776
0.0206,0.01756246,0.035132459
0.0261,0.009949704,0.027021288
-0.0204,-0.019577266,0.020157324
0.0424,-0.001451835,0.022935241
-0.0197,-0.038102936,-0.073915337
0.0252,-0.014487584,0.011906758
0.0255,0.013722224,-0.010517321
-0.0006,-0.034378461,-0.045614591
-0.0311,0.004976962,0.006075932
0.0613,0.059892791,0.031083704
-0.0112,-0.014281407,-0.01402008
0.0059,0.041633733,0.077165927
0.0136,-0.003970496,-0.03985235
-0.0153,-0.028048317,-0.025209732
0.0154,0.0208,-0.068704163
